run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR16303367	PRJNA770746	SAMN22233302	SRX12582110	646099	human metagenome	0fb7400598a74e73c39e2c5ec2ebc5ac;cfd8e2c3c40d753e1eb31e5d8d301460	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303367/SRR16303367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303367/SRR16303367_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/067/SRR16303367/SRR16303367_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/067/SRR16303367/SRR16303367_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/067/SRR16303367	
SRR16303369	PRJNA770746	SAMN22233327	SRX12582108	646099	human metagenome	956a3b613b95b0372089911599e50f38;abc2a67830236021386960c1c9a56021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/069/SRR16303369/SRR16303369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/069/SRR16303369/SRR16303369_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/069/SRR16303369/SRR16303369_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/069/SRR16303369/SRR16303369_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/069/SRR16303369	
SRR16303371	PRJNA770746	SAMN22233322	SRX12582106	646099	human metagenome	9a4eb8b6adce0fcd310c91a9a372a477;494217faacaf3d7a35ef38bd0dc5a696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/071/SRR16303371/SRR16303371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/071/SRR16303371/SRR16303371_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/071/SRR16303371/SRR16303371_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/071/SRR16303371/SRR16303371_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/071/SRR16303371	
SRR16303373	PRJNA770746	SAMN22233326	SRX12582104	646099	human metagenome	9c1ba118068e968e10e64a3ee2006159;c1e8893706efedeaf2e642cd2e4ee6cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/073/SRR16303373/SRR16303373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/073/SRR16303373/SRR16303373_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/073/SRR16303373/SRR16303373_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/073/SRR16303373/SRR16303373_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/073/SRR16303373	
SRR16303365	PRJNA770746	SAMN22233344	SRX12582112	646099	human metagenome	6912943d960edebe42f65c5b7348eda8;2650064d02683f04ed14c66dbb3acfd9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/065/SRR16303365	
SRR16303380	PRJNA770746	SAMN22233266	SRX12582097	646099	human metagenome	2f2b3af2ad8797741eb6027579627fb8;437c9f93d39d2af73fb3377b0b9d1078	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/080/SRR16303380/SRR16303380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/080/SRR16303380/SRR16303380_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/080/SRR16303380/SRR16303380_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/080/SRR16303380/SRR16303380_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/080/SRR16303380	
SRR16303366	PRJNA770746	SAMN22233325	SRX12582111	646099	human metagenome	c88b673283336ec00bac046e7b1be000;bc26612fd484188b4cc5c7669d1e85ea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303366/SRR16303366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303366/SRR16303366_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/066/SRR16303366/SRR16303366_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/066/SRR16303366/SRR16303366_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/066/SRR16303366	
SRR16303381	PRJNA770746	SAMN22233292	SRX12582096	646099	human metagenome	feaca87861cc1c3c772bd5be4d92f0cc;f7f28451d4aac2219b1403ae8a79c0e4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/081/SRR16303381/SRR16303381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/081/SRR16303381/SRR16303381_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/081/SRR16303381/SRR16303381_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/081/SRR16303381/SRR16303381_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/081/SRR16303381	
SRR16303370	PRJNA770746	SAMN22233261	SRX12582107	646099	human metagenome	e7130a5ea78d07000f81577609513750;fd21ab247534e9c6c70d50ed5dc0108f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303370/SRR16303370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303370/SRR16303370_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/070/SRR16303370/SRR16303370_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/070/SRR16303370/SRR16303370_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/070/SRR16303370	
SRR16303382	PRJNA770746	SAMN22233315	SRX12582095	646099	human metagenome	52f771e32daf6c99461395f47e0a983a;4577cee6d6d26f039615a0dc8daeaa3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/082/SRR16303382/SRR16303382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/082/SRR16303382/SRR16303382_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/082/SRR16303382/SRR16303382_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/082/SRR16303382/SRR16303382_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR163/082/SRR16303382	
